query,seed_ortholog,GOs
g492,EOY20829,"GO:0002181,GO:0003674,GO:0003676,GO:0003723,GO:0003735,GO:0005198,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0006412,GO:0006518,GO:0006807,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009987,GO:0010467,GO:0015934,GO:0019538,GO:0022625,GO:0022626,GO:0032991,GO:0034641,GO:0034645,GO:0043043,GO:0043170,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0043603,GO:0043604,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044267,GO:0044271,GO:0044391,GO:0044422,GO:0044424,GO:0044444,GO:0044445,GO:0044446,GO:0044464,GO:0071704,GO:0097159,GO:1901363,GO:1901564,GO:1901566,GO:1901576,GO:1990904"
g523,EOY23781,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0006725,GO:0008150,GO:0008152,GO:0009058,GO:0009698,GO:0009699,GO:0009808,GO:0009809,GO:0009987,GO:0019438,GO:0019748,GO:0044237,GO:0044249,GO:0044424,GO:0044444,GO:0044464,GO:0044550,GO:0071704,GO:1901360,GO:1901362,GO:1901576"
g225,EOY23669,"GO:0002229,GO:0002239,GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005773,GO:0005774,GO:0005777,GO:0005829,GO:0006081,GO:0006082,GO:0006098,GO:0006139,GO:0006725,GO:0006732,GO:0006733,GO:0006739,GO:0006753,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006952,GO:0008150,GO:0008152,GO:0009051,GO:0009117,GO:0009507,GO:0009532,GO:0009536,GO:0009570,GO:0009605,GO:0009607,GO:0009617,GO:0009987,GO:0016020,GO:0016787,GO:0016788,GO:0017057,GO:0019362,GO:0019637,GO:0019682,GO:0019693,GO:0031090,GO:0034641,GO:0042126,GO:0042128,GO:0042579,GO:0042742,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043436,GO:0044237,GO:0044238,GO:0044281,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044437,GO:0044444,GO:0044446,GO:0044464,GO:0046483,GO:0046496,GO:0050896,GO:0051156,GO:0051186,GO:0051704,GO:0051707,GO:0051775,GO:0052689,GO:0055086,GO:0071461,GO:0071704,GO:0071941,GO:0072524,GO:0098542,GO:0098588,GO:0098805,GO:1901135,GO:1901360,GO:1901564,GO:2001057"
g666,Gorai.003G119300.1,"GO:0000154,GO:0000455,GO:0001522,GO:0003674,GO:0003824,GO:0006139,GO:0006364,GO:0006396,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009451,GO:0009982,GO:0009987,GO:0010467,GO:0016070,GO:0016072,GO:0016853,GO:0016866,GO:0022613,GO:0031118,GO:0034470,GO:0034641,GO:0034660,GO:0042254,GO:0043170,GO:0043412,GO:0044085,GO:0044237,GO:0044238,GO:0046483,GO:0071704,GO:0071840,GO:0090304,GO:1901360"
g727,Gorai.008G205000.1,"GO:0000375,GO:0000377,GO:0000398,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0004693,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006109,GO:0006139,GO:0006396,GO:0006397,GO:0006464,GO:0006468,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0007275,GO:0007346,GO:0008150,GO:0008152,GO:0008380,GO:0009555,GO:0009653,GO:0009889,GO:0009987,GO:0010208,GO:0010467,GO:0010468,GO:0010556,GO:0010584,GO:0010675,GO:0010927,GO:0010962,GO:0016043,GO:0016070,GO:0016071,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019222,GO:0019538,GO:0022607,GO:0030198,GO:0031323,GO:0031326,GO:0032501,GO:0032502,GO:0032881,GO:0032885,GO:0032950,GO:0032951,GO:0032952,GO:0032953,GO:0032989,GO:0034641,GO:0036211,GO:0043062,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043255,GO:0043412,GO:0044085,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0045229,GO:0046483,GO:0048229,GO:0048646,GO:0048856,GO:0048869,GO:0050789,GO:0050794,GO:0051726,GO:0060255,GO:0065007,GO:0071704,GO:0071840,GO:0080090,GO:0085029,GO:0090304,GO:0097472,GO:0140096,GO:1901360,GO:1901564,GO:2000112"
g888,EOY23461,"GO:0000988,GO:0000990,GO:0003674,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0006091,GO:0006139,GO:0006351,GO:0006352,GO:0006355,GO:0006725,GO:0006807,GO:0006950,GO:0006970,GO:0006996,GO:0007275,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009314,GO:0009416,GO:0009507,GO:0009536,GO:0009553,GO:0009628,GO:0009637,GO:0009639,GO:0009651,GO:0009657,GO:0009658,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010114,GO:0010207,GO:0010218,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0015979,GO:0016043,GO:0016070,GO:0016987,GO:0018130,GO:0019219,GO:0019222,GO:0019438,GO:0019684,GO:0022607,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032501,GO:0032502,GO:0032774,GO:0033554,GO:0034622,GO:0034641,GO:0034645,GO:0034654,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043254,GO:0043933,GO:0044085,GO:0044087,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044271,GO:0044424,GO:0044444,GO:0044464,GO:0045893,GO:0045935,GO:0046483,GO:0048229,GO:0048518,GO:0048522,GO:0048856,GO:0050789,GO:0050794,GO:0050896,GO:0051128,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0051716,GO:0060255,GO:0065003,GO:0065007,GO:0071214,GO:0071470,GO:0071472,GO:0071478,GO:0071482,GO:0071483,GO:0071704,GO:0071840,GO:0080090,GO:0090304,GO:0097659,GO:0104004,GO:0140110,GO:1901360,GO:1901362,GO:1901576,GO:1902680,GO:1903506,GO:1903508,GO:2000112,GO:2000142,GO:2001141"
g519,EOY23794,"GO:0000972,GO:0000973,GO:0003674,GO:0003676,GO:0003682,GO:0003712,GO:0003713,GO:0003723,GO:0003729,GO:0005048,GO:0005198,GO:0005215,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005635,GO:0005643,GO:0005654,GO:0005737,GO:0005829,GO:0006139,GO:0006259,GO:0006260,GO:0006403,GO:0006405,GO:0006406,GO:0006606,GO:0006611,GO:0006725,GO:0006807,GO:0006810,GO:0006886,GO:0006913,GO:0006996,GO:0006997,GO:0006999,GO:0008104,GO:0008139,GO:0008150,GO:0008152,GO:0009058,GO:0009059,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010467,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0012505,GO:0015031,GO:0015833,GO:0015931,GO:0016020,GO:0016032,GO:0016043,GO:0016234,GO:0016604,GO:0017038,GO:0017056,GO:0019219,GO:0019222,GO:0022607,GO:0031080,GO:0031090,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031503,GO:0031965,GO:0031967,GO:0031974,GO:0031975,GO:0031981,GO:0032991,GO:0033036,GO:0033120,GO:0033218,GO:0033365,GO:0034397,GO:0034398,GO:0034399,GO:0034504,GO:0034613,GO:0034622,GO:0034641,GO:0034645,GO:0042277,GO:0042405,GO:0042886,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043484,GO:0043933,GO:0044085,GO:0044237,GO:0044238,GO:0044249,GO:0044260,GO:0044403,GO:0044419,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044451,GO:0044464,GO:0044614,GO:0044615,GO:0045184,GO:0045935,GO:0046483,GO:0046907,GO:0046931,GO:0048024,GO:0048026,GO:0048518,GO:0048522,GO:0050000,GO:0050657,GO:0050658,GO:0050684,GO:0050685,GO:0050789,GO:0050794,GO:0051028,GO:0051168,GO:0051169,GO:0051170,GO:0051171,GO:0051173,GO:0051179,GO:0051234,GO:0051236,GO:0051252,GO:0051254,GO:0051276,GO:0051292,GO:0051640,GO:0051641,GO:0051649,GO:0051704,GO:0060255,GO:0065003,GO:0065007,GO:0070013,GO:0070727,GO:0071166,GO:0071426,GO:0071427,GO:0071702,GO:0071704,GO:0071705,GO:0071840,GO:0072594,GO:0080090,GO:0090304,GO:0097159,GO:0140110,GO:1901360,GO:1901363,GO:1901576,GO:1902680,GO:1903311,GO:1903313,GO:1903506,GO:1903508,GO:1990841,GO:1990904,GO:2001141"
g642,EOY22622,"GO:0003674,GO:0003676,GO:0003723,GO:0003824,GO:0004518,GO:0004519,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006725,GO:0006807,GO:0008150,GO:0008152,GO:0009451,GO:0009987,GO:0016070,GO:0016787,GO:0016788,GO:0034641,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0044237,GO:0044238,GO:0044424,GO:0044464,GO:0046483,GO:0071704,GO:0090304,GO:0090305,GO:0097159,GO:1901360,GO:1901363"
g2866,EOY25435,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0006091,GO:0006950,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0009266,GO:0009409,GO:0009628,GO:0009916,GO:0009987,GO:0015980,GO:0016491,GO:0016679,GO:0016682,GO:0023052,GO:0031930,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044424,GO:0044444,GO:0044464,GO:0045333,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0055114,GO:0065007"
g2460,EOY24572,"GO:0003674,GO:0003824,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0006091,GO:0008150,GO:0008152,GO:0009507,GO:0009534,GO:0009535,GO:0009536,GO:0009579,GO:0009767,GO:0009773,GO:0009987,GO:0015979,GO:0016020,GO:0016491,GO:0016730,GO:0019684,GO:0019904,GO:0022900,GO:0031976,GO:0031984,GO:0034357,GO:0042651,GO:0042802,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044422,GO:0044424,GO:0044434,GO:0044435,GO:0044436,GO:0044444,GO:0044446,GO:0044464,GO:0055035,GO:0055114"
g2492,XP_010112559.1,"GO:0001666,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0004712,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005783,GO:0005789,GO:0006082,GO:0006464,GO:0006468,GO:0006629,GO:0006720,GO:0006721,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0008299,GO:0008610,GO:0009058,GO:0009628,GO:0009685,GO:0009686,GO:0009719,GO:0009723,GO:0009725,GO:0009743,GO:0009744,GO:0009746,GO:0009750,GO:0009756,GO:0009966,GO:0009968,GO:0009987,GO:0010033,GO:0010035,GO:0010038,GO:0010039,GO:0010104,GO:0010105,GO:0010182,GO:0010646,GO:0010648,GO:0010817,GO:0012505,GO:0016020,GO:0016053,GO:0016101,GO:0016102,GO:0016114,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019538,GO:0019752,GO:0023051,GO:0023052,GO:0023057,GO:0031984,GO:0034284,GO:0034285,GO:0036211,GO:0036293,GO:0040034,GO:0042175,GO:0042221,GO:0042445,GO:0042446,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0043436,GO:0044237,GO:0044238,GO:0044249,GO:0044255,GO:0044260,GO:0044267,GO:0044281,GO:0044283,GO:0044422,GO:0044424,GO:0044425,GO:0044432,GO:0044444,GO:0044446,GO:0044464,GO:0046394,GO:0046777,GO:0048506,GO:0048509,GO:0048510,GO:0048519,GO:0048523,GO:0048580,GO:0048583,GO:0048585,GO:0050789,GO:0050793,GO:0050794,GO:0050896,GO:0051239,GO:0051302,GO:0051716,GO:0065007,GO:0065008,GO:0070297,GO:0070298,GO:0070482,GO:0070887,GO:0071241,GO:0071248,GO:0071281,GO:0071310,GO:0071322,GO:0071704,GO:0098827,GO:0140096,GO:1901564,GO:1901576,GO:1901700,GO:1901701,GO:1902531,GO:1902532,GO:2000026,GO:2000035,GO:2000069,GO:2000280"
g2469,EOY24592,"GO:0000003,GO:0002376,GO:0003006,GO:0003674,GO:0003824,GO:0004620,GO:0004630,GO:0005488,GO:0005543,GO:0005546,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005840,GO:0005886,GO:0005911,GO:0006629,GO:0006643,GO:0006950,GO:0006952,GO:0006955,GO:0006979,GO:0007275,GO:0008081,GO:0008150,GO:0008152,GO:0008289,GO:0009506,GO:0009507,GO:0009536,GO:0009605,GO:0009607,GO:0009617,GO:0009790,GO:0009791,GO:0009793,GO:0009814,GO:0009816,GO:0009987,GO:0010035,GO:0010038,GO:0010044,GO:0010154,GO:0016020,GO:0016298,GO:0016787,GO:0016788,GO:0022414,GO:0022626,GO:0030054,GO:0032501,GO:0032502,GO:0032991,GO:0035091,GO:0042221,GO:0042578,GO:0042742,GO:0043167,GO:0043168,GO:0043207,GO:0043226,GO:0043227,GO:0043228,GO:0043229,GO:0043231,GO:0043232,GO:0044237,GO:0044238,GO:0044255,GO:0044424,GO:0044444,GO:0044445,GO:0044464,GO:0045087,GO:0046686,GO:0048316,GO:0048608,GO:0048731,GO:0048856,GO:0050896,GO:0051704,GO:0051707,GO:0055044,GO:0061458,GO:0071704,GO:0071944,GO:0098542,GO:1901981,GO:1902936,GO:1990904"
g2655,EOY24743,"GO:0003674,GO:0003774,GO:0003777,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005856,GO:0005871,GO:0005875,GO:0005886,GO:0006928,GO:0007017,GO:0007018,GO:0008150,GO:0009987,GO:0015630,GO:0016020,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0032991,GO:0043226,GO:0043228,GO:0043229,GO:0043232,GO:0044422,GO:0044424,GO:0044430,GO:0044446,GO:0044464,GO:0071944"
g1529,EOY21881,"GO:0003674,GO:0003824,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006139,GO:0006259,GO:0006281,GO:0006725,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006974,GO:0008150,GO:0008152,GO:0009987,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0033554,GO:0034641,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0050896,GO:0051716,GO:0071704,GO:0090304,GO:1901360"
g1295,EOY24120,"GO:0000002,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005777,GO:0005782,GO:0006139,GO:0006259,GO:0006508,GO:0006605,GO:0006625,GO:0006725,GO:0006807,GO:0006810,GO:0006886,GO:0006950,GO:0006996,GO:0007005,GO:0007031,GO:0007275,GO:0008104,GO:0008150,GO:0008152,GO:0009266,GO:0009408,GO:0009628,GO:0009791,GO:0009987,GO:0010467,GO:0015031,GO:0015833,GO:0015919,GO:0016043,GO:0016485,GO:0016558,GO:0016560,GO:0017038,GO:0019538,GO:0022622,GO:0031907,GO:0031974,GO:0032042,GO:0032501,GO:0032502,GO:0033036,GO:0033365,GO:0034613,GO:0034641,GO:0040007,GO:0042579,GO:0042886,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0043574,GO:0044237,GO:0044238,GO:0044260,GO:0044422,GO:0044424,GO:0044438,GO:0044439,GO:0044444,GO:0044446,GO:0044464,GO:0044743,GO:0045184,GO:0046483,GO:0046907,GO:0048364,GO:0048527,GO:0048528,GO:0048731,GO:0048856,GO:0050896,GO:0051179,GO:0051234,GO:0051604,GO:0051641,GO:0051649,GO:0055085,GO:0065002,GO:0070013,GO:0070727,GO:0071702,GO:0071704,GO:0071705,GO:0071806,GO:0071840,GO:0072594,GO:0072662,GO:0072663,GO:0090304,GO:0090696,GO:0099402,GO:1901360,GO:1901564"
g410,EOY23169,"GO:0000217,GO:0000404,GO:0003674,GO:0003676,GO:0003677,GO:0003684,GO:0003690,GO:0003824,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0006139,GO:0006259,GO:0006281,GO:0006298,GO:0006725,GO:0006807,GO:0006950,GO:0006974,GO:0006996,GO:0008094,GO:0008150,GO:0008152,GO:0009987,GO:0016043,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0030983,GO:0032135,GO:0032300,GO:0032991,GO:0033554,GO:0034641,GO:0042623,GO:0043170,GO:0043570,GO:0044237,GO:0044238,GO:0044260,GO:0044424,GO:0044464,GO:0046483,GO:0050896,GO:0051276,GO:0051716,GO:0071704,GO:0071840,GO:0090304,GO:0097159,GO:1901360,GO:1901363,GO:1990391"
g2824,EOY25353,"GO:0000003,GO:0003002,GO:0003006,GO:0003674,GO:0003824,GO:0005215,GO:0005575,GO:0005623,GO:0005886,GO:0006810,GO:0007275,GO:0007389,GO:0008150,GO:0009653,GO:0009790,GO:0009791,GO:0009793,GO:0009965,GO:0010016,GO:0010051,GO:0010154,GO:0010222,GO:0010588,GO:0015399,GO:0015405,GO:0016020,GO:0016021,GO:0016462,GO:0016787,GO:0016817,GO:0016818,GO:0016887,GO:0017111,GO:0022414,GO:0022804,GO:0022857,GO:0031224,GO:0032501,GO:0032502,GO:0042623,GO:0042626,GO:0043492,GO:0044425,GO:0044464,GO:0048316,GO:0048366,GO:0048367,GO:0048598,GO:0048608,GO:0048731,GO:0048825,GO:0048826,GO:0048827,GO:0048856,GO:0051179,GO:0051234,GO:0055085,GO:0061458,GO:0071944,GO:0090698,GO:0099402,GO:1905392"
g214,EOY23676,"GO:0001101,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0004683,GO:0005488,GO:0005515,GO:0005516,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005886,GO:0005911,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0007154,GO:0007165,GO:0008150,GO:0008152,GO:0009506,GO:0009719,GO:0009725,GO:0009737,GO:0009738,GO:0009755,GO:0009931,GO:0009987,GO:0010033,GO:0010857,GO:0016020,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0018105,GO:0018193,GO:0018209,GO:0019538,GO:0023052,GO:0030054,GO:0032870,GO:0033993,GO:0035556,GO:0036211,GO:0042221,GO:0043170,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0046777,GO:0050789,GO:0050794,GO:0050896,GO:0051716,GO:0055044,GO:0065007,GO:0070887,GO:0071215,GO:0071229,GO:0071310,GO:0071396,GO:0071495,GO:0071704,GO:0071944,GO:0097305,GO:0097306,GO:0140096,GO:1901564,GO:1901700,GO:1901701"
g339,Solyc05g047460.2.1,"GO:0003674,GO:0003676,GO:0003677,GO:0003700,GO:0005488,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006355,GO:0007154,GO:0007165,GO:0007275,GO:0008150,GO:0009314,GO:0009416,GO:0009605,GO:0009606,GO:0009628,GO:0009629,GO:0009630,GO:0009637,GO:0009638,GO:0009653,GO:0009719,GO:0009723,GO:0009725,GO:0009733,GO:0009785,GO:0009791,GO:0009889,GO:0009891,GO:0009893,GO:0009987,GO:0010015,GO:0010033,GO:0010101,GO:0010102,GO:0010311,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0019219,GO:0019222,GO:0022622,GO:0023052,GO:0030522,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0032501,GO:0032502,GO:0042221,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044464,GO:0045893,GO:0045935,GO:0048364,GO:0048366,GO:0048367,GO:0048518,GO:0048522,GO:0048527,GO:0048528,GO:0048646,GO:0048731,GO:0048827,GO:0048856,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0051716,GO:0060255,GO:0065007,GO:0071214,GO:0071478,GO:0071482,GO:0071483,GO:0080090,GO:0090696,GO:0090697,GO:0090698,GO:0097159,GO:0099402,GO:0104004,GO:0140110,GO:1901363,GO:1902680,GO:1903506,GO:1903508,GO:1905392,GO:1905393,GO:2000112,GO:2001141"
g2505,Gorai.008G244600.1,"GO:0003674,GO:0003824,GO:0003978,GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005829,GO:0005886,GO:0007275,GO:0008150,GO:0009555,GO:0016020,GO:0016853,GO:0016854,GO:0016857,GO:0032501,GO:0032502,GO:0044424,GO:0044444,GO:0044464,GO:0048229,GO:0048856,GO:0050373,GO:0071944"
g2632,EOY24667,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0044424,GO:0044464"
g2783,EOY22762,"GO:0001101,GO:0003674,GO:0003700,GO:0006355,GO:0008150,GO:0009719,GO:0009725,GO:0009739,GO:0009743,GO:0009744,GO:0009889,GO:0009891,GO:0009893,GO:0010033,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0019219,GO:0019222,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0033993,GO:0034285,GO:0042221,GO:0045893,GO:0045935,GO:0048518,GO:0048522,GO:0050789,GO:0050794,GO:0050896,GO:0051171,GO:0051173,GO:0051252,GO:0051254,GO:0060255,GO:0065007,GO:0080090,GO:0140110,GO:1901700,GO:1902680,GO:1903506,GO:1903508,GO:2000112,GO:2001141"
g1556,EOY21946,"GO:0002229,GO:0002239,GO:0002831,GO:0002833,GO:0003674,GO:0003824,GO:0004672,GO:0004674,GO:0004693,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005886,GO:0006464,GO:0006468,GO:0006793,GO:0006796,GO:0006807,GO:0006950,GO:0006952,GO:0008150,GO:0008152,GO:0009605,GO:0009607,GO:0009617,GO:0009966,GO:0009987,GO:0010646,GO:0016020,GO:0016301,GO:0016310,GO:0016740,GO:0016772,GO:0016773,GO:0019538,GO:0023051,GO:0031347,GO:0031349,GO:0032101,GO:0032103,GO:0036211,GO:0042742,GO:0043170,GO:0043207,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043412,GO:0043900,GO:0043902,GO:0044237,GO:0044238,GO:0044260,GO:0044267,GO:0044424,GO:0044464,GO:0048518,GO:0048583,GO:0048584,GO:0050789,GO:0050794,GO:0050896,GO:0051704,GO:0051707,GO:0051726,GO:0065007,GO:0071704,GO:0071944,GO:0080134,GO:0097472,GO:0098542,GO:0140096,GO:1900424,GO:1900426,GO:1901564,GO:1902288,GO:1902290,GO:2000031,GO:2001023,GO:2001038"
g2395,EOY22042,"GO:0000428,GO:0000993,GO:0001098,GO:0001099,GO:0003674,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005654,GO:0005737,GO:0005829,GO:0006355,GO:0006357,GO:0006950,GO:0008023,GO:0008150,GO:0009266,GO:0009409,GO:0009628,GO:0009889,GO:0009891,GO:0009893,GO:0009909,GO:0009910,GO:0010048,GO:0010468,GO:0010556,GO:0010557,GO:0010604,GO:0010628,GO:0016591,GO:0016593,GO:0019219,GO:0019222,GO:0019899,GO:0030880,GO:0031323,GO:0031325,GO:0031326,GO:0031328,GO:0031974,GO:0031981,GO:0032784,GO:0032786,GO:0032968,GO:0032991,GO:0034243,GO:0043175,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043233,GO:0044422,GO:0044424,GO:0044428,GO:0044444,GO:0044446,GO:0044451,GO:0044464,GO:0044877,GO:0045309,GO:0045893,GO:0045935,GO:0045944,GO:0048518,GO:0048519,GO:0048522,GO:0048580,GO:0048581,GO:0048831,GO:0050789,GO:0050793,GO:0050794,GO:0050815,GO:0050896,GO:0051093,GO:0051171,GO:0051173,GO:0051219,GO:0051239,GO:0051241,GO:0051252,GO:0051254,GO:0055029,GO:0060255,GO:0061695,GO:0065007,GO:0070013,GO:0070063,GO:0080090,GO:0099122,GO:1902494,GO:1902680,GO:1903506,GO:1903508,GO:1990234,GO:1990269,GO:2000026,GO:2000112,GO:2000241,GO:2000242,GO:2001141"
g2258,EOY24001,"GO:0001101,GO:0003674,GO:0004857,GO:0004864,GO:0005488,GO:0005515,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0005737,GO:0005829,GO:0007154,GO:0007165,GO:0008150,GO:0008289,GO:0009719,GO:0009725,GO:0009737,GO:0009738,GO:0009755,GO:0009892,GO:0009987,GO:0010033,GO:0010427,GO:0010563,GO:0010605,GO:0010921,GO:0010923,GO:0019208,GO:0019212,GO:0019220,GO:0019222,GO:0019840,GO:0019888,GO:0023052,GO:0030234,GO:0031323,GO:0031324,GO:0031399,GO:0031400,GO:0031406,GO:0032268,GO:0032269,GO:0032515,GO:0032870,GO:0033293,GO:0033993,GO:0035303,GO:0035304,GO:0035305,GO:0035308,GO:0036094,GO:0038023,GO:0042221,GO:0042562,GO:0042802,GO:0042803,GO:0043086,GO:0043167,GO:0043168,GO:0043177,GO:0043178,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043666,GO:0044092,GO:0044424,GO:0044444,GO:0044464,GO:0045936,GO:0046983,GO:0048519,GO:0048523,GO:0050789,GO:0050790,GO:0050794,GO:0050896,GO:0051171,GO:0051172,GO:0051174,GO:0051246,GO:0051248,GO:0051336,GO:0051346,GO:0051716,GO:0060089,GO:0060255,GO:0065007,GO:0065009,GO:0070887,GO:0071215,GO:0071229,GO:0071310,GO:0071396,GO:0071495,GO:0080090,GO:0080163,GO:0097305,GO:0097306,GO:0098772,GO:1901700,GO:1901701,GO:1905183"
g2290,Gorai.003G183800.1,"GO:0005575,GO:0005622,GO:0005623,GO:0005737,GO:0005739,GO:0016020,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0044424,GO:0044444,GO:0044464"
g2318,EOY25228,"GO:0000414,GO:0005575,GO:0005622,GO:0005623,GO:0005634,GO:0006355,GO:0007154,GO:0007165,GO:0008150,GO:0009719,GO:0009725,GO:0009741,GO:0009742,GO:0009755,GO:0009889,GO:0009987,GO:0010033,GO:0010468,GO:0010556,GO:0010793,GO:0014070,GO:0019219,GO:0019222,GO:0023052,GO:0031056,GO:0031060,GO:0031323,GO:0031326,GO:0031399,GO:0032239,GO:0032268,GO:0032386,GO:0032784,GO:0032870,GO:0032879,GO:0032880,GO:0033043,GO:0033044,GO:0033157,GO:0033993,GO:0042221,GO:0043226,GO:0043227,GO:0043229,GO:0043231,GO:0043401,GO:0044424,GO:0044464,GO:0046822,GO:0046825,GO:0046831,GO:0048545,GO:0050684,GO:0050789,GO:0050794,GO:0050896,GO:0051049,GO:0051128,GO:0051171,GO:0051223,GO:0051246,GO:0051252,GO:0051716,GO:0060255,GO:0060341,GO:0065007,GO:0070201,GO:0070887,GO:0071310,GO:0071367,GO:0071383,GO:0071396,GO:0071407,GO:0071495,GO:0080090,GO:0090087,GO:1901700,GO:1901701,GO:1902275,GO:1903311,GO:1903506,GO:1903827,GO:2000112,GO:2000197,GO:2001141,GO:2001253"
